sample,¦Á-Pinene,¦Á-Thujene,¦Â-Pinene,¦Â-Phellandrene,¦Â-Myrcene,¦Á-Terpinene,D-Limonene,¦Ã-Terpinene,o-Cymene,¦Ä-Carene,¦Á-terpineol,Methyl methanthranilate,¦Á-Sinensal
D1,0.69,,0.85,0.71,,0.44,54.77,18.16,1.49,1.49,1.17,5.73,0.59
D2,1.57,0.45,1.28,0.46,2.63,0.37,72.72,14.52,1.56,0.87,0.43,1.7,0.73
D3,2.07,0.65,1.6,1.14,2.27,0.41,66.59,17,2.4,0.97,0.48,2.44,0.47
D4,2.2,0.76,1.63,1.41,2.48,0.39,69.62,16.33,1.59,0.87,0.34,1.31,0.24
D5,2.33,0.8,1.69,1.32,2.56,0.44,69.4,16.57,1.64,0.95,0.29,1.28,
D6,2.1,0.71,1.47,0.43,2.46,0.4,73.46,15.9,1.04,0.87,0.17,0.99,0.64
D7,1.37,0.4,1.14,1.29,2.34,0.33,71.73,15.36,1.46,0.91,0.4,1.77,0.26
D8,1.86,0.59,1.37,0.45,2.48,0.36,72.98,15.8,1.35,0.91,0.23,1.36,
L2,1.08,0.24,1.09,,1.64,0.31,67.68,15.86,1.69,0.87,1.01,2.34,3.08
L3,1.64,0.33,0.92,0.26,1.9,0.24,73.64,13.76,3.29,0.78,0.48,1.46,0.68
L4,0.96,0.23,1,0.85,1.67,0.27,60.87,14.42,3.51,0.9,1.41,5.81,2.18
L5,1.18,0.32,1.14,0.34,1.93,0.36,63.4,16.3,1.81,1.05,1.17,4.81,1.98
L6,1.33,0.37,1.37,0.31,1.95,0.43,63.15,18.13,1.56,1.13,0.98,4.19,1.47
L7,0.97,0.11,0.46,0.14,1.49,,72.82,11.85,5.02,0.78,0.52,2.47,1.46
L8,1.65,0.42,1.27,0.17,2.05,,72.24,16.64,1.49,0.91,0.62,1.53,0.67
MA1,1.71,0.54,1.77,1.19,3.53,0.76,55.4,19.44,1.75,1.84,0.97,2.44,3.17
MA2,2.96,1.13,2.38,1.26,3.93,0.83,55.34,19.11,2.53,1.85,0.65,2.28,1.58
MA3,1.91,0.65,1.65,0.43,2.45,0.43,69.16,16.71,2.89,1.04,0.39,1.28,0.54
