sample	alpha_Thujene	alpha_Pinene	beta_Pinene	beta_Myrcene	D_Limonene	o_Cymene	Carene	gamma_Terpene	Thymol	Benzoic_acid
SCK1	879104	2250624	1729878	2863243	150472748	3430100	2682959	23655231	1101706642	665206284
SCK2	1069027	3119769	2489406	3767792	187299642	4585045	3593847	32582242	1110752280	848651195
SCK3	768409	2391386	1778057	2791637	159234604	5341177	3600204	23009708	1094421626	694784565
SA1	783987	2341344	1579952	2885674	146679322	3691684	2590825	17604644	1004771905	687870562
SA2	729809	1949147	1781865	1944511	78346769	2718061	3066962	25015544	963594017	566146327
SA3	1251984	2980153	2610260	3132881	148968514	4613432	3994912	32429545	899933905	716691743
SB1	1809911	4889864	3820589	5149257	235289230	6371016	4278142	43016339	782696599	979893602
SB2	1670429	4523402	3648308	4305380	200486777	4732272	2978759	43812970	1166717356	904295927
SB3	1707230	4821936	3734055	5403687	231792034	5682265	4266010	42436734	1056161678	1061364346
SC1	1459521	4063679	3201230	4749552	204515646	4923600	3140084	37527278	1130695774	882070162
SC2	815976	2110373	1740045	2190643	117620465	3046908	2142114	22943275	927106377	609098400
SC3	1074570	2908063	2301865	2995401	149706280	4337535	3278752	29063263	1206320892	669486394
SD1	997737	2553810	2208470	2661020	138129032	4178752	2381440	27921153	1469401846	862218291
SD2	1798084	4534657	3727349	4086204	203731235	5566841	3606244	45540271	1452889116	738007222
SD3	995894	2735504	2196046	2835806	147748773	3634171	2105360	28121768	1132731667	689526084
SE1	1363742	3875091	3004499	4369071	221423835	6107060	4509287	36412669	1075418478	882569195
SE2	1497912	3499555	2904115	3123627	159587460	4271889	2739781	35795826	1207326229	860766411
SE3	1860610	4713628	4012513	3323547	174487972	4297992	2362977	46443933	1180223032	779731495
SF1	1795843	5063697	3941341	5642964	240644064	6062747	3503328	43932068	1311260357	1082996975
SF2	1879719	4796176	3877099	3927803	193305620	4285750	2690092	44750586	1103737181	954611179
SF3	2883296	6896165	5965921	4715993	229147094	5314707	3455826	67113863	958561553	1134045093
SG1	1398519	4041809	3101679	4458350	213125330	4924276	2442148	34657403	1028778435	1033757250
SG2	1167891	3149612	2473844	3715268	171924210	4216790	3439629	31083379	1243740211	745317015
SG3	1620320	4397274	3333640	5305592	237605708	6169246	4535226	39773344	958884813	903637021
SH1	1016924	2831545	2205113	3163193	153860474	4134597	3194276	28367221	1154717467	669607547
SH2	1699277	4762826	3734787	5146456	238609296	6841110	4192538	43627082	1126916633	916159691
SH3	1683629	4357637	3597500	4192840	210657551	6127545	4216818	44760255	1350364917	1041145107
