sample	Peel.RNAseq	Leaf.RNAseq	Root.RNAseq	Metagenome	Endopyte	Soil.properties	Essential.oil
D1	yes	no	yes	yes	yes	yes	yes
D2	yes	yes	yes	yes	yes	yes	yes
D3	yes	yes	yes	yes	yes	yes	yes
D4	yes	yes	no	yes	yes	yes	yes
D5	yes	yes	yes	yes	yes	yes	yes
D6	yes	yes	yes	yes	yes	yes	yes
D7	yes	yes	yes	yes	yes	yes	yes
D8	yes	yes	yes	yes	no	yes	yes
L1	no	yes	yes	yes	yes	yes	no
L2	yes	yes	yes	yes	yes	yes	yes
L3	yes	yes	yes	yes	yes	yes	yes
L4	yes	yes	yes	yes	yes	yes	yes
L5	yes	yes	yes	yes	yes	yes	yes
L6	yes	yes	yes	yes	yes	yes	yes
L7	yes	yes	yes	yes	yes	yes	yes
L8	yes	yes	yes	yes	yes	yes	yes
MA1	yes	yes	yes	yes	yes	yes	yes
MA2	yes	yes	yes	yes	yes	yes	yes
MA3	yes	yes	yes	yes	yes	yes	yes
MA4	yes	yes	yes	yes	no	yes	no
MA5	yes	yes	yes	yes	yes	yes	yes
MB1	yes	yes	yes	yes	yes	yes	yes
MB2	yes	yes	yes	yes	yes	yes	yes
MB3	yes	yes	yes	yes	yes	yes	yes
MB4	yes	yes	yes	yes	yes	yes	yes
MC1	yes	yes	yes	yes	yes	yes	yes
MC2	yes	yes	yes	yes	yes	yes	yes
MC3	yes	yes	yes	yes	yes	yes	yes
MC4	yes	yes	yes	yes	yes	yes	yes
S2	yes	yes	yes	yes	yes	yes	yes
S3	yes	yes	yes	yes	yes	yes	yes
S4	yes	yes	yes	yes	yes	yes	yes
S5	yes	yes	yes	yes	yes	yes	yes
S6	yes	yes	yes	yes	yes	yes	yes
S7	yes	yes	yes	yes	yes	yes	yes
S8	yes	yes	yes	yes	yes	yes	yes
T1	yes	yes	yes	yes	yes	yes	yes
T2	yes	yes	yes	yes	yes	yes	yes
T3	yes	yes	yes	yes	yes	yes	yes
T4	yes	yes	yes	yes	yes	yes	yes
T5	yes	yes	no	yes	yes	yes	yes
T6	yes	yes	yes	yes	yes	yes	yes
T7	yes	yes	yes	yes	yes	yes	yes
T8	yes	yes	yes	yes	no	yes	yes
W1	yes	yes	yes	yes	yes	yes	yes
W2	yes	yes	yes	yes	yes	yes	yes
W3	yes	yes	yes	yes	yes	yes	yes
W4	yes	yes	yes	yes	yes	yes	yes
W5	yes	yes	yes	yes	yes	yes	yes
W6	yes	yes	yes	yes	yes	yes	yes
X1	no	yes	yes	yes	yes	yes	yes
X2	yes	yes	yes	yes	yes	yes	yes
X3	yes	yes	yes	yes	yes	yes	yes
X4	no	yes	yes	yes	yes	yes	yes
X5	no	yes	yes	yes	yes	yes	yes
X6	yes	yes	yes	yes	yes	yes	yes
X7	yes	yes	yes	yes	yes	yes	yes
X8	yes	yes	yes	yes	yes	yes	yes
