Number	Soiltype	Sample	Attribute	pH	Organics	Available.N	K	Total.N	P	Fe	Mn	Cu	Zn	Mg	ECsw
D1	Rhizosphere	1	Others	4.89	35.33123038	0.123725	0.1	1.786108939	0.07536245	31.99976648	0.058508903	0.02358465	0.073096605	0.697026308	0.0945
D2	Rhizosphere	1	Others	4.75	46.1921211	0.161525	0.103	2.378067133	0.7403122	31.78515396	0.067695625	0.037765087	0.091327242	0.692533337	0.0954
D3	Rhizosphere	1	Others	4.68	44.54449403	0.141575	0.099	2.238146134	0.6581976	41.85276162	0.068235084	0.045776564	0.107870213	0.875019662	0.0888
D4	Rhizosphere	1	Others	5	45.83144365	0.098875	0.13	2.309778962	0.50200135	41.83933815	0.084739096	0.047847795	0.11741636	0.834890887	0.123
D5	Rhizosphere	1	Others	4.73	42.26497651	0.146475	0.173	2.12715525	0.54841395	40.53050252	0.100828079	0.102457653	0.148496799	0.986944416	0.1133
D6	Rhizosphere	1	Others	5.29	37.76067348	0.131775	0.147	2.001563916	0.25387245	41.78584944	0.07795258	0.033747022	0.105603856	0.822065494	0.0988
D7	Rhizosphere	1	Others	4.75	46.20630707	0.147525	0.1	2.40127048	0.3118882	42.93522455	0.08253995	0.054366472	0.116476184	0.837441643	0.092
D8	Rhizosphere	1	Others	4.89	44.10284621	0.141925	0.1	2.346453045	0.3136733	44.02767302	0.083367259	0.03570225	0.106076465	0.879660849	0.0962
D1	Bulksoil	1	Others	3.86	48.17396128	0.144725	0.289	2.305799164	0.51449705	36.64153881	0.080520414	0.06022115	0.088904892	0.838910741	0.1615
D2	Bulksoil	1	Others	4.04	48.07729112	0.172025	0.243	2.430950865	0.17889825	43.33363715	0.053712651	0.040628066	0.098349125	0.834521697	0.1605
D3	Bulksoil	1	Others	4.21	44.92184454	0.143325	0.196	2.88430128	0.3583008	38.7975667	0.057887209	0.039204715	0.083058661	0.831645425	0.1148
D4	Bulksoil	1	Others	4.48	37.29513381	0.085925	0.2835	1.95030565	0.368565125	44.57947877	0.068965615	0.044558264	0.087391326	0.918194892	0.1246
L1	Rhizosphere	1	Others	4.97	23.78606775	0.055125	0.189	1.554267692	0.3672263	25.07370001	0.148049219	0.016625306	0.045806483	1.402674922	0.0994
L2	Rhizosphere	1	Others	5.96	19.78519903	0.103075	0.242	1.232514217	0.26458305	27.02721015	0.204445862	0.016925366	0.061679116	1.960004569	0.1574
L3	Rhizosphere	1	Others	5.68	45.24628009	0.128975	0.199	2.626912617	0.48236525	24.29851943	0.327439174	0.017066086	0.073671997	1.551164612	0.1688
L4	Rhizosphere	1	Others	4.43	17.70784943	0.058275	0.208	1.114195245	0.00931375	28.2240835	0.246154561	0.015477044	0.063676153	1.297948537	0.1149
L5	Rhizosphere	1	Others	3.9	17.11463747	0.045325	0.19	1.030209217	0.15033665	23.7541913	0.18518587	0.013366526	0.055159664	1.112877456	0.1373
L6	Rhizosphere	1	Others	4.53	15.85151409	0.055125	0.144	1.044701312	0.05037105	30.0699085	0.365414036	0.016687678	0.080772397	1.415449031	0.1107
L7	Rhizosphere	1	Others	4.57	15.31228111	0.061075	0.13	0.949279851	0.0869656	22.37399135	0.214234932	0.013954172	0.070192347	1.480698128	0.0823
L8	Rhizosphere	1	Others	4.38	21.28582767	0.089425	0.079	0.943626004	0.0137765	24.82354393	0.416476037	0.018767033	0.064422857	1.798952522	0.0981
L1	Bulksoil	1	Others	4.41	9.973453064	0.026775	0.166	0.664135998	0.07714755	28.94903809	0.304677857	0.014486059	0.05770893	1.58313883	0.1054
L2	Bulksoil	1	Others	4.19	8.145321934	0.068075	0.537	0.862539582	0.5350257	28.28596503	0.093825602	0.014130713	0.051491793	1.397605658	0.136
L3	Bulksoil	1	Others	4.67	18.36726989	0.055825	0.161	1.026372664	0.10035385	22.93294635	0.227786438	0.013341008	0.057408525	1.596137245	0.1013
L4	Bulksoil	1	Others	4.4	11.7027924	0.068425	0.359157852	0.706558027	0.030139917	22.96461821	0.355199823	0.015259523	0.067620913	2.028739484	0.1351
MA1	Rhizosphere	1	Xinhui	4.4	43.80489305	0.149275	0.1733	2.467488543	0.5011088	48.11298449	0.288045417	0.048311908	0.114048942	5.127476493	0.3278
MA2	Rhizosphere	1	Xinhui	5.13	77.51362236	0.506625	0.2313	4.525132166	0.72692395	44.40768686	0.472141092	0.084494683	0.176321366	4.648885458	0.2885
MA3	Rhizosphere	1	Xinhui	4.94	107.4841785	0.450625	0.2628	6.269072702	0.6903294	38.49181496	0.331933168	0.05987586	0.119524865	4.09146029	0.3019
MA4	Rhizosphere	1	Xinhui	5.31	84.00724129	0.340725	0.2483	5.019164706	0.80725345	38.80135592	0.280382199	0.057932365	0.153491898	4.800057133	0.3261
MA5	Rhizosphere	1	Xinhui	4.35	56.13306937	0.207725	0.2762	3.165702168	1.03574625	46.82601212	0.259615226	0.068903738	0.111984967	5.129039645	0.2891
