geneid	koid
Cs1g01010	K09495
Cs1g01030	K04730
Cs1g01040	K01062
Cs1g01050	K10398
Cs1g01060	K03549
Cs1g01070	K12309
Cs1g01100	K13418
Cs1g01110	K01592
Cs1g01120	K01592
Cs1g01130	K01592
Cs1g01140	K19613
Cs1g01160	K19613
Cs1g01170	K03006
Cs1g01180	K15078
Cs1g01200	K02372
Cs1g01205	K02372
Cs1g01210	K01210
Cs1g01220	K01210
Cs1g01240	K03036
Cs1g01260	K01834
Cs1g01270	K14514
Cs1g01280	K00232
Cs1g01290	K00232
Cs1g01300	K05757
Cs1g01320	K09286
Cs1g01330	K01087
Cs1g01350	K17604
Cs1g01380	K09527
Cs1g01390	K07152
Cs1g01400	K02992
Cs1g01420	K04733
Cs1g01430	K04733
Cs1g01440	K04733
Cs1g01450	K03006
Cs1g01505	K05677
Cs1g01510	K05677
Cs1g01530	K21596
Cs1g01540	K17098
Cs1g01560	K01953
Cs1g01570	K15272
Cs1g01580	K02892
Cs1g01600	K07893
Cs1g01620	K08819
Cs1g01630	K08819
Cs1g01640	K21596
Cs1g01650	K11842
Cs1g01660	K02904
Cs1g01670	K09422
Cs1g01690	K01592
Cs1g01700	K01858
Cs1g01730	K17469
Cs1g01760	K15849
Cs1g01770	K20309
Cs1g01790	K13099
Cs1g01800	K00423
Cs1g01810	K00423
Cs1g01820	K09529
Cs1g01830	K09260
Cs1g01840	K01802
Cs1g01850	K01802
Cs1g01860	K10752
Cs1g01870	K06630
Cs1g01880	K19613
Cs1g01890	K19613
Cs1g01900	K17710
Cs1g01910	K00924
Cs1g01920	K08332
Cs1g01930	K13141
Cs1g01940	K17785
Cs1g01950	K03002
Cs1g01960	K09140
Cs1g01970	K12875
Cs1g01980	K02908
Cs1g01990	K00799
Cs1g02000	K15559
Cs1g02010	K15559
Cs1g02020	K08738
Cs1g02030	K13428
Cs1g02040	K19366
Cs1g02070	K12153
Cs1g02080	K06123
Cs1g02090	K13428
Cs1g02100	K04730
Cs1g02110	K04730
Cs1g02120	K19366
Cs1g02140	K13457
Cs1g02150	K00927
Cs1g02160	K12153
Cs1g02170	K04077
Cs1g02180	K00512
Cs1g02190	K04125
Cs1g02195	K09775
Cs1g02200	K09775
Cs1g02210	K04077
Cs1g02230	K00053
Cs1g02240	K00512
Cs1g02250	K00512
Cs1g02260	K11866
Cs1g02270	K00512
Cs1g02290	K10656
Cs1g02295	K12741
Cs1g02310	K14431
Cs1g02320	K00827
Cs1g02340	K06180
Cs1g02370	K18592
Cs1g02380	K00784
Cs1g02390	K00784
Cs1g02410	K17943
Cs1g02420	K00784
Cs1g02430	K00784
Cs1g02440	K00784
Cs1g02460	K15503
Cs1g02470	K00784
Cs1g02480	K00784
Cs1g02490	K08738
Cs1g02500	K16743
Cs1g02510	K00784
Cs1g02520	K02912
Cs1g02530	K17964
Cs1g02540	K20562
Cs1g02550	K20562
Cs1g02590	K14006
Cs1g02600	K14006
Cs1g02620	K10756
Cs1g02650	K13484
Cs1g02660	K05605
Cs1g02670	K04123
Cs1g02680	K14500
Cs1g02690	K14638
Cs1g02700	K09008
Cs1g02710	K05665
Cs1g02720	K01179
Cs1g02730	K10742
Cs1g02740	K11271
Cs1g02750	K15404
Cs1g02760	K15404
Cs1g02770	K13800
Cs1g02780	K06943
Cs1g02790	K03861
Cs1g02800	K01528
Cs1g02810	K07305
Cs1g02830	K07893
Cs1g02840	K07893
Cs1g02850	K03955
Cs1g02870	K04078
Cs1g02880	K15082
Cs1g02890	K10663
Cs1g02910	K17964
Cs1g02920	K00924
Cs1g02930	K03260
Cs1g02940	K03260
Cs1g02950	K03260
Cs1g02960	K19530
Cs1g02970	K19530
Cs1g02980	K03115
Cs1g02990	K20661
Cs1g03000	K18185
Cs1g03010	K04392
Cs1g03030	K11294
Cs1g03040	K02257
Cs1g03050	K02257
Cs1g03060	K12501
Cs1g03070	K01255
Cs1g03080	K17710
Cs1g03090	K03847
Cs1g03100	K13424
Cs1g03110	K00940
Cs1g03120	K19241
Cs1g03140	K12877
Cs1g03160	K07874
Cs1g03170	K14164
Cs1g03180	K10640
Cs1g03190	K16818
Cs1g03200	K00784
Cs1g03210	K08286
Cs1g03220	K03029
Cs1g03230	K15451
Cs1g03240	K12180
Cs1g03250	K09286
Cs1g03260	K09286
Cs1g03270	K09286
Cs1g03280	K09286
Cs1g03290	K09286
Cs1g03300	K09286
Cs1g03310	K09286
Cs1g03320	K01535
Cs1g03330	K01074
Cs1g03340	K10268
Cs1g03350	K03294
Cs1g03370	K14165
Cs1g03390	K09338
Cs1g03400	K17086
Cs1g03410	K21444
Cs1g03420	K15032
Cs1g03440	K17796
Cs1g03450	K17796
Cs1g03470	K09422
Cs1g03480	K00344
Cs1g03500	K09503
Cs1g03510	K09286
Cs1g03520	K10696
Cs1g03540	K08176
Cs1g03550	K20092
Cs1g03560	K14306
Cs1g03570	K14306
Cs1g03590	K02355
Cs1g03600	K05605
Cs1g03610	K00025
Cs1g03620	K02133
Cs1g03630	K13415
Cs1g03640	K13415
Cs1g03650	K13484
Cs1g03660	K17086
Cs1g03670	K00784
Cs1g03680	K19613
Cs1g03690	K06685
Cs1g03700	K22048
Cs1g03710	K22048
Cs1g03720	K22048
Cs1g03730	K12644
Cs1g03760	K03006
Cs1g03780	K13066
Cs1g03790	K15405
Cs1g03800	K13066
Cs1g03810	K03006
Cs1g03820	K15405
Cs1g03840	K01187
Cs1g03860	K07933
Cs1g03870	K18835
Cs1g03890	K07897
Cs1g03900	K22063
Cs1g03930	K00430
Cs1g03950	K02732
Cs1g03960	K02732
Cs1g03970	K00167
Cs1g03980	K10891
Cs1g03990	K20393
Cs1g04000	K13466
Cs1g04010	K20393
Cs1g04020	K02206
Cs1g04060	K14521
Cs1g04080	K09839
Cs1g04100	K10761
Cs1g04110	K10761
Cs1g04115	K07407
Cs1g04120	K19026
Cs1g04140	K13459
Cs1g04150	K13459
Cs1g04160	K11294
Cs1g04170	K05658
Cs1g04180	K13424
Cs1g04190	K07478
Cs1g04220	K20617
Cs1g04230	K01623
Cs1g04235	K07195
Cs1g04240	K00512
Cs1g04250	K17943
Cs1g04260	K13065
Cs1g04270	K16296
Cs1g04280	K13065
Cs1g04290	K13065
Cs1g04300	K13065
Cs1g04310	K11294
Cs1g04320	K01188
Cs1g04330	K21484
Cs1g04340	K13415
Cs1g04350	K15285
Cs1g04370	K02150
Cs1g04380	K08819
Cs1g04390	K15202
Cs1g04400	K10882
Cs1g04410	K02218
Cs1g04430	K11851
Cs1g04440	K12874
Cs1g04450	K12874
Cs1g04460	K18195
Cs1g04510	K11816
Cs1g04530	K01592
Cs1g04560	K13124
